,ds,y
342,2023-11-12,217.46
343,2023-11-13,217.33
344,2023-11-14,222.15
345,2023-11-15,222.7
346,2023-11-16,222.55
347,2023-11-17,223.11
348,2023-11-18,223.11
349,2023-11-19,223.11
350,2023-11-20,224.79
351,2023-11-21,224.18
352,2023-11-22,225.14
353,2023-11-23,225.14
354,2023-11-24,225.38
355,2023-11-25,225.38
356,2023-11-26,225.38
357,2023-11-27,225.09
358,2023-11-28,225.23
359,2023-11-29,225.33
360,2023-11-30,226.26
361,2023-12-01,228.17
362,2023-12-02,228.17
363,2023-12-03,228.17
364,2023-12-04,227.35
365,2023-12-05,226.91
366,2023-12-06,225.95
367,2023-12-07,227.76
368,2023-12-08,228.85
369,2023-12-09,228.85
370,2023-12-10,228.85
371,2023-12-11,229.79
372,2023-12-12,230.66
373,2023-12-13,234.24
374,2023-12-14,235.63
375,2023-12-15,235.31
376,2023-12-16,235.31
377,2023-12-17,235.31
378,2023-12-18,236.33
379,2023-12-19,238.06
380,2023-12-20,234.51
381,2023-12-21,236.09
382,2023-12-22,236.63
383,2023-12-23,236.63
384,2023-12-24,236.63
385,2023-12-25,236.63
386,2023-12-26,237.8
387,2023-12-27,238.25
388,2023-12-28,238.13
389,2023-12-29,237.22
390,2023-12-30,237.22
391,2023-12-31,237.22
392,2024-01-01,237.22
393,2024-01-02,235.63
394,2024-01-03,233.37
395,2024-01-04,232.77
396,2024-01-05,233.12
397,2024-01-06,233.12
398,2024-01-07,233.12
399,2024-01-08,236.45
400,2024-01-09,236.01
401,2024-01-10,237.23
402,2024-01-11,237.07
403,2024-01-12,237.11
404,2024-01-13,237.11
405,2024-01-14,237.11
406,2024-01-15,237.11
407,2024-01-16,236.01
408,2024-01-17,234.59
409,2024-01-18,236.66
410,2024-01-19,239.54
411,2024-01-20,239.54
412,2024-01-21,239.54
413,2024-01-22,240.58
414,2024-01-23,241.02
415,2024-01-24,240.98
416,2024-01-25,242.32
417,2024-01-26,242.12
418,2024-01-27,242.12
419,2024-01-28,242.12
420,2024-01-29,244.32
421,2024-01-30,243.98
422,2024-01-31,239.87
423,2024-02-01,243.1
424,2024-02-02,245.18
425,2024-02-03,245.18
426,2024-02-04,245.18
427,2024-02-05,244.02
428,2024-02-06,244.85
429,2024-02-07,246.78
430,2024-02-08,247.39
431,2024-02-09,248.9
432,2024-02-10,248.9
433,2024-02-11,248.9
434,2024-02-12,249.14
435,2024-02-13,245.15
436,2024-02-14,247.86
437,2024-02-15,249.77
438,2024-02-16,248.46
439,2024-02-17,248.46
440,2024-02-18,248.46
441,2024-02-19,248.46
442,2024-02-20,246.9
443,2024-02-21,246.95
444,2024-02-22,251.83
445,2024-02-23,252.0
446,2024-02-24,252.0
447,2024-02-25,252.0
448,2024-02-26,251.24
449,2024-02-27,251.94
450,2024-02-28,251.52
451,2024-02-29,252.58
452,2024-03-01,254.9
453,2024-03-02,254.9
454,2024-03-03,254.9
455,2024-03-04,254.65
456,2024-03-05,251.95
457,2024-03-06,253.44
458,2024-03-07,255.91
459,2024-03-08,254.43
460,2024-03-09,254.43
461,2024-03-10,254.43
462,2024-03-11,254.02
463,2024-03-12,256.53
464,2024-03-13,256.21
465,2024-03-14,255.22
466,2024-03-15,253.71
467,2024-03-16,253.71
468,2024-03-17,253.71
469,2024-03-18,255.0
470,2024-03-19,256.47
471,2024-03-20,259.07
472,2024-03-21,260.14
473,2024-03-22,258.5
