,ds,y
129,2023-04-13,2039.89
130,2023-04-14,2004.11
131,2023-04-15,2004.11
132,2023-04-16,2002.8
133,2023-04-17,1993.9
134,2023-04-18,2005.48
135,2023-04-19,1993.6
136,2023-04-20,2004.97
137,2023-04-21,1982.91
138,2023-04-22,1982.91
139,2023-04-23,1984.59
140,2023-04-24,1995.35
141,2023-04-25,2000.07
142,2023-04-26,1991.62
143,2023-04-27,1986.97
144,2023-04-28,1989.44
145,2023-04-29,1989.44
146,2023-04-30,1986.72
147,2023-05-01,1981.13
148,2023-05-02,2015.84
149,2023-05-03,2051.93
150,2023-05-04,2049.8
151,2023-05-05,2016.58
152,2023-05-06,2016.58
153,2023-05-07,2015.95
154,2023-05-08,2021.22
155,2023-05-09,2036.27
156,2023-05-10,2031.36
157,2023-05-11,2016.24
158,2023-05-12,2010.86
159,2023-05-13,2010.86
160,2023-05-14,2009.72
161,2023-05-15,2014.35
162,2023-05-16,1989.5
163,2023-05-17,1982.62
164,2023-05-18,1958.3
165,2023-05-19,1977.58
166,2023-05-20,1977.58
167,2023-05-21,1980.73
168,2023-05-22,1969.58
169,2023-05-23,1975.0
170,2023-05-24,1959.9
171,2023-05-25,1940.37
172,2023-05-26,1946.07
173,2023-05-27,1946.07
174,2023-05-28,1943.85
175,2023-05-29,1941.55
176,2023-05-30,1958.6
177,2023-05-31,1966.31
178,2023-06-01,1976.87
179,2023-06-02,1948.0
180,2023-06-03,1948.0
181,2023-06-04,1949.3
182,2023-06-05,1961.24
183,2023-06-06,1963.2
184,2023-06-07,1944.39
185,2023-06-08,1965.33
186,2023-06-09,1960.49
187,2023-06-10,1960.49
188,2023-06-11,1959.83
189,2023-06-12,1959.86
190,2023-06-13,1943.93
191,2023-06-14,1945.16
192,2023-06-15,1958.25
193,2023-06-16,1957.5
194,2023-06-17,1957.5
195,2023-06-18,1956.94
196,2023-06-19,1952.32
197,2023-06-20,1937.17
198,2023-06-21,1933.78
199,2023-06-22,1914.43
200,2023-06-23,1920.79
201,2023-06-24,1920.79
202,2023-06-25,1925.29
203,2023-06-26,1922.37
204,2023-06-27,1915.42
205,2023-06-28,1909.64
206,2023-06-29,1908.76
207,2023-06-30,1919.2
208,2023-07-01,1919.2
209,2023-07-02,1918.11
210,2023-07-03,1921.17
