,TPM_value,TPM_var,TDES_value,TDES_var,IPC_value,IPC_var,PIB_value,PIB_var,BC_value,BC_var
2023-01-20,4.33,0.0,3.52258064516129,0.183,301062.67741935485,0.012,27326517.422222223,0.012,-70303.83870967742,0.026
2023-01-21,4.33,0.0,3.5290322580645164,0.183,301099.87096774194,0.012,27329785.444444444,0.012,-70321.93548387097,0.026
2023-01-22,4.33,0.0,3.535483870967742,0.183,301137.06451612903,0.012,27333053.466666665,0.012,-70340.03225806452,0.026
2023-01-23,4.33,0.0,3.541935483870968,0.182,301174.2580645161,0.012,27336321.48888889,0.012,-70358.12903225806,0.026
2023-01-24,4.33,0.0,3.5483870967741935,0.182,301211.4516129032,0.012,27339589.51111111,0.012,-70376.2258064516,0.026
2023-01-25,4.33,0.0,3.554838709677419,0.182,301248.6451612903,0.012,27342857.533333335,0.012,-70394.32258064517,0.026
2023-01-26,4.33,0.0,3.5612903225806454,0.181,301285.8387096774,0.012,27346125.555555556,0.012,-70412.41935483871,0.026
2023-01-27,4.33,0.0,3.567741935483871,0.181,301323.03225806454,0.012,27349393.577777777,0.012,-70430.51612903226,0.026
2023-01-28,4.33,0.0,3.574193548387097,0.181,301360.22580645164,0.012,27352661.6,0.012,-70448.6129032258,0.026
2023-01-29,4.33,0.0,3.5806451612903225,0.181,301397.4193548387,0.012,27355929.622222222,0.012,-70466.70967741935,0.026
2023-01-30,4.33,0.0,3.5870967741935487,0.18,301434.6129032258,0.012,27359197.644444443,0.012,-70484.80645161291,0.026
2023-01-31,4.33,0.0,3.5935483870967744,0.18,301471.8064516129,0.012,27362465.666666668,0.012,-70502.90322580645,0.026
2023-02-01,4.33,0.0,3.6,0.18,301509.0,0.012,27365733.68888889,0.012,-70521.0,0.026
2023-02-02,4.58,5.774,3.5964285714285715,-0.099,301517.39285714284,0.003,27369001.71111111,0.012,-70156.71428571429,-0.517
2023-02-03,4.58,0.0,3.592857142857143,-0.099,301525.78571428574,0.003,27372269.733333334,0.012,-69792.42857142857,-0.519
2023-02-04,4.58,0.0,3.5892857142857144,-0.099,301534.1785714286,0.003,27375537.755555555,0.012,-69428.14285714286,-0.522
2023-02-05,4.58,0.0,3.585714285714286,-0.1,301542.5714285714,0.003,27378805.777777776,0.012,-69063.85714285714,-0.525
2023-02-06,4.58,0.0,3.5821428571428573,-0.1,301550.96428571426,0.003,27382073.8,0.012,-68699.57142857143,-0.527
2023-02-07,4.58,0.0,3.5785714285714287,-0.1,301559.35714285716,0.003,27385341.82222222,0.012,-68335.28571428571,-0.53
2023-02-08,4.58,0.0,3.575,-0.1,301567.75,0.003,27388609.844444446,0.012,-67971.0,-0.5329999999999999
2023-02-09,4.57,-0.218,3.5714285714285716,-0.1,301576.14285714284,0.003,27391877.866666667,0.012,-67606.71428571429,-0.536
2023-02-10,4.58,0.219,3.567857142857143,-0.1,301584.53571428574,0.003,27395145.888888888,0.012,-67242.42857142857,-0.539
2023-02-11,4.58,0.0,3.5642857142857145,-0.1,301592.9285714286,0.003,27398413.911111113,0.012,-66878.14285714286,-0.542
2023-02-12,4.58,0.0,3.560714285714286,-0.1,301601.3214285714,0.003,27401681.933333334,0.012,-66513.85714285714,-0.545
2023-02-13,4.58,0.0,3.5571428571428574,-0.1,301609.71428571426,0.003,27404949.955555554,0.012,-66149.57142857143,-0.5479999999999999
2023-02-14,4.58,0.0,3.553571428571429,-0.1,301618.10714285716,0.003,27408217.97777778,0.012,-65785.28571428571,-0.551
2023-02-15,4.58,0.0,3.55,-0.101,301626.5,0.003,27411486.0,0.012,-65421.0,-0.5539999999999999
2023-02-16,4.58,0.0,3.5464285714285713,-0.101,301634.89285714284,0.003,27414754.02222222,0.012,-65056.71428571429,-0.557
2023-02-17,4.58,0.0,3.5428571428571427,-0.101,301643.28571428574,0.003,27418022.044444446,0.012,-64692.42857142857,-0.5599999999999999
2023-02-18,4.58,0.0,3.539285714285714,-0.101,301651.6785714286,0.003,27421290.066666666,0.012,-64328.142857142855,-0.563
2023-02-19,4.58,0.0,3.5357142857142856,-0.101,301660.0714285714,0.003,27424558.088888887,0.012,-63963.857142857145,-0.5660000000000001
2023-02-20,4.58,0.0,3.532142857142857,-0.101,301668.46428571426,0.003,27427826.111111112,0.012,-63599.57142857143,-0.5700000000000001
2023-02-21,4.58,0.0,3.5285714285714285,-0.101,301676.85714285716,0.003,27431094.133333333,0.012,-63235.28571428572,-0.573
2023-02-22,4.58,0.0,3.525,-0.101,301685.25,0.003,27434362.155555554,0.012,-62871.0,-0.5760000000000001
2023-02-23,4.58,0.0,3.5214285714285714,-0.101,301693.64285714284,0.003,27437630.17777778,0.012,-62506.71428571429,-0.579
2023-02-24,4.58,0.0,3.517857142857143,-0.101,301702.03571428574,0.003,27440898.2,0.012,-62142.42857142857,-0.583
2023-02-25,4.58,0.0,3.5142857142857142,-0.10200000000000001,301710.4285714286,0.003,27444166.222222224,0.012,-61778.142857142855,-0.586
2023-02-26,4.58,0.0,3.5107142857142857,-0.10200000000000001,301718.8214285714,0.003,27447434.244444445,0.012,-61413.857142857145,-0.59
2023-02-27,4.57,-0.218,3.507142857142857,-0.10200000000000001,301727.21428571426,0.003,27450702.266666666,0.012,-61049.57142857143,-0.5930000000000001
2023-02-28,4.57,0.0,3.5035714285714286,-0.10200000000000001,301735.60714285716,0.003,27453970.28888889,0.012,-60685.28571428571,-0.597
2023-03-01,4.58,0.219,3.5,-0.10200000000000001,301744.0,0.003,27457238.31111111,0.012,-60321.0,-0.6
2023-03-02,4.57,-0.218,3.496774193548387,-0.092,301785.5483870968,0.013999999999999999,27460506.333333332,0.012,-60722.12903225807,0.6649999999999999
2023-03-03,4.57,0.0,3.4935483870967743,-0.092,301827.0967741936,0.013999999999999999,27463774.355555557,0.012,-61123.25806451613,0.661
2023-03-04,4.57,0.0,3.490322580645161,-0.092,301868.6451612903,0.013999999999999999,27467042.377777778,0.012,-61524.3870967742,0.656
2023-03-05,4.57,0.0,3.4870967741935486,-0.092,301910.1935483871,0.013999999999999999,27470310.4,0.012,-61925.51612903226,0.652
2023-03-06,4.57,0.0,3.4838709677419355,-0.093,301951.7419354839,0.013999999999999999,27473578.422222223,0.012,-62326.645161290326,0.6479999999999999
2023-03-07,4.57,0.0,3.4806451612903224,-0.093,301993.29032258067,0.013999999999999999,27476846.444444444,0.012,-62727.77419354839,0.644
2023-03-08,4.57,0.0,3.47741935483871,-0.093,302034.8387096774,0.013999999999999999,27480114.466666665,0.012,-63128.903225806454,0.639
2023-03-09,4.57,0.0,3.4741935483870967,-0.093,302076.3870967742,0.013999999999999999,27483382.48888889,0.012,-63530.032258064515,0.635
2023-03-10,4.57,0.0,3.4709677419354836,-0.093,302117.93548387097,0.013999999999999999,27486650.51111111,0.012,-63931.16129032258,0.631
2023-03-11,4.57,0.0,3.467741935483871,-0.093,302159.48387096776,0.013999999999999999,27489918.533333335,0.012,-64332.290322580644,0.627
