,v,vw,o,c,h,l,t,n
95,17262.048154398562,23472.3027,23556.83,23489.52,23895.51,23108.4,1677456000000,375954
96,13589.055716860028,23356.9495,23490.01,23133.2,23615.0,23027.24,1677542400000,348772
97,16790.070413259436,23613.7536,23133.2,23646.0,24009.0,23025.17,1677628800000,407694
98,12873.239298932689,23429.2051,23632.12,23468.24,23808.0,23196.09,1677715200000,326621
99,29098.163448022664,22403.9047,23468.79,22358.18,23482.0,21910.0,1677801600000,495270
100,3642.1175278400838,22335.5557,22362.0,22350.95,22409.82,22150.71,1677888000000,146442
101,6924.484078001803,22435.2737,22349.74,22432.69,22667.2,22195.13,1677974400000,261418
102,13138.24067444271,22428.6202,22431.99,22410.31,22600.0,22264.73,1678060800000,270778
103,14897.24681633476,22238.2586,22410.13,22198.48,22557.03,21904.3,1678147200000,339622
104,17568.177206105604,21992.8191,22194.8,21698.37,22291.0,21580.84,1678233600000,339949
105,30937.94907550839,21096.8401,21712.0,20367.01,21836.0,20042.3,1678320000000,496142
106,44788.1420894932,19974.4279,20366.97,20230.08,20382.0,19549.9,1678406400000,634861
107,34944.57040214252,20406.6196,20230.07,20620.54,20964.5,19863.0,1678492800000,539823
108,32171.150084912,21180.8798,20619.34,22219.08,22299.9,20357.0,1678579200000,515024
109,59115.52595242586,23364.2339,22216.02,24220.0,24710.0,21867.8,1678665600000,775688
110,66615.07304265896,25182.2658,24188.0,24762.65,26553.9,24051.0,1678752000000,889694
111,40391.47395966212,24641.1606,24730.0,24377.16,25324.0,23913.3,1678838400000,654180
112,29213.22643861599,24793.548,24377.16,25051.85,25235.28,24186.0,1678924800000,504536
113,61831.95491162201,26518.6259,25052.11,27453.62,27839.2,24946.86,1679011200000,856946
114,28625.33311835562,27343.4253,27453.75,26980.35,27795.0,26547.0,1679097600000,554023
115,28511.705105435078,27787.8838,26980.35,28054.46,28478.0,26838.0,1679184000000,552950
116,35543.219992126826,27932.5257,28058.15,27823.32,28590.6,27130.0,1679270400000,626361
117,23957.917758974072,28065.8239,27822.85,28207.33,28605.32,27312.0,1679356800000,489202
118,48149.414723071204,28043.7954,28201.22,27300.0,28937.73,26591.0,1679443200000,731557
119,37552.33699735767,28000.9213,27324.05,28352.94,28839.68,27094.0,1679529600000,600728
120,30698.223381133437,27879.8036,28352.95,27489.24,28433.34,27000.0,1679616000000,569717
121,13293.244609140724,27505.0426,27489.24,27488.18,27829.7,27163.9,1679702400000,382794
